Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2018-08-20 00:00:00+01:00,10485.099609375,10659.2001953125,10475.7001953125,10651.5,0,0.0,0.0
2018-08-21 00:00:00+01:00,10483.099609375,10662.7001953125,10463.900390625,10668.400390625,0,0.0,0.0
2018-08-22 00:00:00+01:00,10537.099609375,10698.400390625,10501.7001953125,10723.099609375,0,0.0,0.0
2018-08-23 00:00:00+01:00,10689.7998046875,10689.7998046875,10496.7998046875,10692.7001953125,0,0.0,0.0
2018-08-24 00:00:00+01:00,10496.099609375,10737.400390625,10487.7001953125,10496.0,0,0.0,0.0
2018-08-27 00:00:00+01:00,10546.7001953125,10551.400390625,10526.599609375,10544.5,0,0.0,0.0
2018-08-28 00:00:00+01:00,10533.099609375,10599.900390625,10506.2998046875,10531.099609375,0,0.0,0.0
2018-08-29 00:00:00+01:00,10599.2998046875,10603.900390625,10505.900390625,10595.599609375,0,0.0,0.0
2018-08-30 00:00:00+01:00,10527.7998046875,10604.7998046875,10490.099609375,10528.7998046875,0,0.0,0.0
2018-08-31 00:00:00+01:00,10553.7001953125,10554.0,10506.099609375,10554.7998046875,0,0.0,0.0
2018-09-03 00:00:00+01:00,10508.5,10560.7001953125,10484.5,10510.400390625,0,0.0,0.0
2018-09-04 00:00:00+01:00,10535.5,10598.099609375,10513.900390625,10537.0,0,0.0,0.0
2018-09-05 00:00:00+01:00,10564.400390625,10599.599609375,10544.0,10562.2001953125,0,0.0,0.0
2018-09-06 00:00:00+01:00,10566.5,10589.599609375,10533.7998046875,10567.5,0,0.0,0.0
2018-09-07 00:00:00+01:00,10572.0,10573.2998046875,10462.2998046875,10571.7001953125,0,0.0,0.0
2018-09-10 00:00:00+01:00,10461.599609375,10474.599609375,10406.5,10461.2001953125,0,0.0,0.0
2018-09-11 00:00:00+01:00,10403.7001953125,10421.7998046875,10381.599609375,10434.0,0,0.0,0.0
2018-09-12 00:00:00+01:00,10413.599609375,10445.2998046875,10392.5,10412.400390625,0,0.0,0.0
2018-09-13 00:00:00+01:00,10634.2001953125,10634.2001953125,10438.900390625,10632.2998046875,0,0.0,0.0
2018-09-14 00:00:00+01:00,10598.099609375,10598.099609375,10447.7998046875,10599.2001953125,0,0.0,0.0
2018-09-17 00:00:00+01:00,10506.0,10596.7001953125,10503.7998046875,10582.099609375,0,0.0,0.0
2018-09-18 00:00:00+01:00,10483.7998046875,10729.099609375,10483.7998046875,10643.2998046875,0,0.0,0.0
2018-09-19 00:00:00+01:00,10739.599609375,10808.2001953125,10592.099609375,10740.400390625,0,0.0,0.0
2018-09-20 00:00:00+01:00,10791.099609375,10791.099609375,10617.5,10790.900390625,0,0.0,0.0
2018-09-21 00:00:00+01:00,10806.0,10830.099609375,10614.2001953125,10806.7998046875,0,0.0,0.0
2018-09-24 00:00:00+01:00,10652.099609375,10734.099609375,10623.7998046875,10654.099609375,0,0.0,0.0
2018-09-25 00:00:00+01:00,10650.5,10813.2001953125,10620.900390625,10650.0,0,0.0,0.0
2018-09-26 00:00:00+01:00,10815.599609375,10815.599609375,10661.400390625,10816.7998046875,0,0.0,0.0
2018-09-27 00:00:00+01:00,10813.400390625,10835.900390625,10646.099609375,10841.900390625,0,0.0,0.0
2018-09-28 00:00:00+01:00,10779.5,10858.099609375,10600.0,10778.7998046875,0,0.0,0.0
2018-10-01 00:00:00+01:00,10767.599609375,10802.099609375,10580.2001953125,10764.900390625,0,0.0,0.0
2018-10-02 00:00:00+01:00,10663.2001953125,10754.400390625,10624.7001953125,10769.2001953125,0,0.0,0.0
2018-10-03 00:00:00+01:00,10803.7998046875,10803.7998046875,10572.0,10805.2001953125,0,0.0,0.0
2018-10-04 00:00:00+01:00,10626.7998046875,10688.7998046875,10576.2001953125,10718.7998046875,0,0.0,0.0
2018-10-05 00:00:00+01:00,10729.7001953125,10729.7001953125,10552.7998046875,10728.7998046875,0,0.0,0.0
2018-10-08 00:00:00+01:00,10543.400390625,10617.0,10536.2998046875,10542.7998046875,0,0.0,0.0
2018-10-09 00:00:00+01:00,10601.2001953125,10637.599609375,10595.599609375,10602.900390625,0,0.0,0.0
2018-10-10 00:00:00+01:00,10816.099609375,10816.099609375,10619.599609375,10816.2001953125,0,0.0,0.0
