,NIC,Nickle price,Rate,AUD/IDR,NPI production,Mining,Metal products in indonesia
count,1023.0,1023.0,1023.0,1023.0,1023.0,1023.0,1023.0
mean,0.7719705505542391,17308.222248289345,0.6190615835777126,10216.91725756812,24045.12577386771,130788.20886282178,953.8322678396871
std,0.35155891800700845,5772.4015415414615,0.6083874768890749,501.0151841313009,11003.746297815967,95077.91898687801,343.64858516093176
min,0.20266804099082947,10604.5,0.1,8710.078125,0.0,9500.0,475.15
25%,0.48375916481018066,12910.25,0.1,9834.87060546875,21645.0,43322.0,632.36
50%,0.7058917880058289,16144.0,0.25,10274.0,25271.1,117728.0,931.73
75%,1.0407626628875732,19581.75,1.0,10566.93310546875,26858.0,199863.33333333334,1267.05
max,1.5829781293869019,48241.0,3.6,11316.80859375,48393.333333333336,339672.0,1568.34
